;0;1;2;3;4;teams;date
23;Sico;dexter;INS;malta;DickStacy;Renegades;2019/december/23
24;chopper;mir;sdy;iDISBALANCE;magixx;Spirit;2019/december/23
25;Snax;MICHU;snatchie;phr;Vegi;ex-Virtus.pro;2019/december/23
26;NBK-;valde;Aleksib;ISSAA;mantuu;OG;2019/december/23
27;Spiidi;denis;k1to;faveN;;Sprout;2019/december/23
28;loWel;EasTor;steel;alex;mopoz;Movistar Riders;2019/december/23
29;sAw;ZOREE;sLowi;doto;hoody;HAVU;2019/december/23
0;Xyp9x;dupreeh;gla1ve;device;Magisk;Astralis;2019/december/30
1;karrigan;chrisJ;woxic;frozen;ropz;MOUZ;2019/december/30
2;flusha;JW;KRIMZ;Golden;Brollan;fnatic;2019/december/30
3;nitr0;NAF;EliGE;Stewie2K;Twistzz;Liquid;2019/december/30
4;stanislaw;tarik;Brehze;Ethan;CeRq;Evil Geniuses;2019/december/30
5;shox;RpK;apEX;ALEX;ZywOo;Vitality;2019/december/30
6;jks;AZR;jkaem;Gratisfaction;Liazz;100 Thieves;2019/december/30
7;olofmeister;NiKo;rain;coldzera;broky;FaZe;2019/december/30
8;GuardiaN;flamie;s1mple;electroNic;Boombl4;Natus Vincere;2019/december/30
9;f0rest;twist;Lekr0;REZ;Plopski;Ninjas in Pyjamas;2019/december/30
10;JACKZ;huNter-;kennyS;AMANEK;nexa;G2;2019/december/30
11;allu;Aerial;suNny;xseveN;sergej;ENCE;2019/december/30
12;facecrack;almazer;FL1T;xsepower;Jerry;forZe;2019/december/30
13;HEN1;arT;yuurih;VINI;KSCERATO;FURIA;2019/december/30
14;FalleN;kNgV-;fer;TACO;meyern;MIBR;2019/december/30
15;Snappi;cadiaN;es3tag;b0RUP;stavn;Heroic;2019/december/30
16;AdreN;SANJI;buster;Qikert;Jame;Virtus.pro;2019/december/30
17;Sonic;JT;floppy;motm;oSee;ATK;2019/december/30
18;emi;LETN1;ottoNd;SHiPZ;EspiranTo;CR4ZY;2019/december/30
19;cajunb;aizy;Kjaerbye;JUGi;gade;North;2019/december/30
20;HUNDEN;Bubzkji;acoR;sjuush;roeJ;MAD Lions;2019/december/30
21;Sico;dexter;INS;malta;DickStacy;Renegades;2019/december/30
22;Maikelele;zehN;STYKO;kRYSTAL;Maden;GODSENT;2019/december/30
23;Summer;Attacker;somebody;Freeman;;TYLOO;2019/december/30
24;chopper;mir;sdy;iDISBALANCE;magixx;Spirit;2019/december/30
25;NBK-;valde;Aleksib;ISSAA;mantuu;OG;2019/december/30
26;Snax;MICHU;snatchie;phr;Vegi;ex-Virtus.pro;2019/december/30
27;Spiidi;denis;k1to;faveN;;Sprout;2019/december/30
28;loWel;EasTor;steel;alex;mopoz;Movistar Riders;2019/december/30
29;sAw;ZOREE;sLowi;doto;hoody;HAVU;2019/december/30
